timestamp,action,usd_value,spl_amount,price_per_token
1900-02-01 20:43:48,Buy,482.27,5622615,8.577e-05
1900-02-01 20:50:48,Sell,462.67,699809,0.0006611
1900-02-01 20:52:33,Sell,1192.44,1448478,0.0008232
1900-02-01 20:57:18,Sell,1057.48,1252432,0.0008443
1900-02-01 21:05:54,Sell,1883.99,1070019,0.00176
1900-02-01 21:10:15,Sell,1926.99,553418,0.003481
1900-02-01 23:29:23,Sell,581.71,598457,0.000972
